Temperament,Height,Weight,Life Expectancy,breed,link
"Playful, Easy-Going, Devoted",10-12 inches,5.5-9 pounds,12-14 years,Bolognese,https://www.akc.org/dog-breeds/bolognese/
"Affectionate, Smart, Energetic","19-22 inches (male), 18-21 inches (female)",30-55 pounds,12-15 years,Border Collie,https://www.akc.org/dog-breeds/border-collie/
"Affectionate, Happy, Plucky",12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,Border Terrier,https://www.akc.org/dog-breeds/border-terrier/
"Affectionate, Loyal, Regally Dignified","28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,Borzoi,https://www.akc.org/dog-breeds/borzoi/
"Friendly, Bright, Amusing",15-17 inches,12-25 pounds,11-13 years,Boston Terrier,https://www.akc.org/dog-breeds/boston-terrier/
"Affectionate, Courageous, Strong-Willed","24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,Bouvier des Flandres,https://www.akc.org/dog-breeds/bouvier-des-flandres/
"Bright, Fun-Loving, Active","23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,Boxer,https://www.akc.org/dog-breeds/boxer/
"Friendly, Eager, Lovable","15.5-18 inches (male), 14-16.5 inches (female)","30-40 pounds (male), 25-35 pounds (female)",10-15 years,Boykin Spaniel,https://www.akc.org/dog-breeds/boykin-spaniel/
"Affectionate, Intelligent, Enthusiastic",21-27 inches,55-90 pounds,10-14 years,Bracco Italiano,https://www.akc.org/dog-breeds/bracco-italiano/
"Affectionate, Adaptable, Gentle",19-22.5 inches,35-53 pounds,10-12 years,Braque du Bourbonnais,https://www.akc.org/dog-breeds/braque-du-bourbonnais/
"Friendly, Smart, Willing to Please",18.5-23 inches,40-55 pounds,,Braque Francais Pyrenean,https://www.akc.org/dog-breeds/braque-francais-pyrenean/
"Confident, Smart, Faithful","23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12 years,Briard,https://www.akc.org/dog-breeds/briard/
"Bright, Fun-Loving, Upbeat",17.5-20.5 inches,30-40 pounds,12-14 years,Brittany,https://www.akc.org/dog-breeds/brittany/
"Friendly, Watchful, Loving",27.5-29.5 inches,90-150 pounds,8-10 years,Broholmer,https://www.akc.org/dog-breeds/broholmer/
